title,year,letterboxd_rating,source_url,slug,letterboxd_url,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,decade,decade_label,underperformance_category,key_insights,genre_pattern,marketing_assessment
Parasite,2019,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,parasite,https://letterboxd.com/film/parasite/,53847897,0,8.5,"Drama, Thriller",Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Won 4 Oscars. 309 wins & 260 nominations total,132 min,South Korea,"Korean, English",False,53.85,0.0,,-4.2,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
The Godfather,1972,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,the-godfather,https://letterboxd.com/film/the-godfather/,136381073,0,9.2,"Crime, Drama",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Won 3 Oscars. 31 wins & 31 nominations total,175 min,United States,"English, Italian, Latin",False,136.38,0.0,,-4.9,1970,1970s,N/A - Performed Well,Successful box office performance,N/A,N/A
Ran,1985,4.3,https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/,ran,https://letterboxd.com/film/ran/,4314927,0,8.2,"Action, Drama, War",Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each oth",Won 1 Oscar. 30 wins & 23 nominations total,160 min,"Japan, France",Japanese,True,4.31,0.0,,-3.9,1980,1980s,Niche Appeal,"Ran is a masterful epic from Akira Kurosawa, blending Shakespearean tragedy with Japanese history through breathtaking visuals and profound thematic depth. Its commercial underperformance is overshadowed by its artistic legacy, influencing filmmakers worldwide and cementing its status as a cinematic landmark. The film's meticulous craftsmanship and emotional intensity offer a timeless exploration of power, betrayal, and human folly.",Prestige Picture,"The primary marketing challenge for ""Ran"" is overcoming the language barrier and lengthy runtime to attract Western audiences unfamiliar with Japanese cinema, despite its acclaimed director and epic scale."
Se7en,1995,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,se7en,https://letterboxd.com/film/se7en/,101040643,0,8.6,"Crime, Drama, Mystery",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Nominated for 1 Oscar. 29 wins & 44 nominations total,127 min,United States,English,False,101.04,0.0,,-4.4,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
Pride & Prejudice,2005,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,pride-prejudice,https://letterboxd.com/film/pride-prejudice/,44785261,0,7.8,"Drama, Romance",Joe Wright,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn","When Elizabeth Bennet meets the handsome Mr. Darcy, she believes he is the last man she could ever marry, but as their lives become intertwined, she finds herself captivated by the man she has sworn t",Nominated for 4 Oscars. 13 wins & 59 nominations total,129 min,"United Kingdom, France, United States",English,True,44.79,0.0,,-3.6,2000,2000s,Niche Appeal,"Despite its modest box office, this adaptation excels through its lush, atmospheric cinematography and Keira Knightley's spirited performance, which revitalized Jane Austen for a modern audience. Its enduring cultural resonance and critical acclaim stem from its authentic emotional depth and timeless exploration of pride and prejudice, securing its status as a beloved classic.",Prestige Picture,"Overcoming the perception of being just another period drama adaptation to attract younger audiences beyond the core literary fans, despite its modern pacing and star appeal."
Star Wars: Episode III – Revenge of the Sith,2005,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,star-wars-episode-iii-revenge-of-the-sith,https://letterboxd.com/film/star-wars-episode-iii-revenge-of-the-sith/,414378291,0,7.6,"Action, Adventure, Fantasy",George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor","As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.",Nominated for 1 Oscar. 29 wins & 64 nominations total,140 min,"United States, Italy, Switzerland, Thailand, United Kingdom",English,False,414.38,0.0,,-3.4,2000,2000s,N/A - Performed Well,Successful box office performance,N/A,N/A
Spider-Man: Into the Spider-Verse,2018,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,spider-man-into-the-spider-verse,https://letterboxd.com/film/spider-man-into-the-spider-verse/,190241310,0,8.4,"Animation, Action, Adventure","Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Won 1 Oscar. 85 wins & 60 nominations total,117 min,"Canada, United States","English, Spanish",False,190.24,0.0,,-4.2,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
Little Miss Sunshine,2006,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,little-miss-sunshine,https://letterboxd.com/film/little-miss-sunshine/,59891098,0,7.8,"Comedy, Drama","Jonathan Dayton, Valerie Faris","Steve Carell, Toni Collette, Greg Kinnear",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,Won 2 Oscars. 73 wins & 112 nominations total,101 min,United States,English,False,59.89,0.0,,-3.6,2000,2000s,N/A - Performed Well,Successful box office performance,N/A,N/A
Black Swan,2010,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,black-swan,https://letterboxd.com/film/black-swan/,107770258,0,8.0,"Drama, Thriller",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel","Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking",Won 1 Oscar. 98 wins & 279 nominations total,108 min,United States,"English, French, Italian",False,107.77,0.0,,-3.8,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
Pulp Fiction,1994,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,pulp-fiction,https://letterboxd.com/film/pulp-fiction/,107928762,0,8.8,"Crime, Drama",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Won 1 Oscar. 69 wins & 72 nominations total,154 min,United States,"English, Spanish, French",False,107.93,0.0,,-4.6,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
Howl's Moving Castle,2004,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,howls-moving-castle,https://letterboxd.com/film/howls-moving-castle/,9173958,0,8.2,"Animation, Adventure, Family",Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his leg",Nominated for 1 Oscar. 14 wins & 20 nominations total,119 min,"Japan, United States",Japanese,True,9.17,0.0,,-4.0,2000,2000s,Limited Release,"Despite its modest box office, *Howl's Moving Castle* is celebrated for its breathtaking animation and profound, anti-war narrative, which resonate deeply with audiences beyond its initial release. Its blend of whimsical fantasy and emotional depth, coupled with Hayao Miyazaki's masterful storytelling, has cemented its status as a beloved classic in animation history.",Mainstream Friendly,"The primary marketing challenge is overcoming the language barrier and cultural nuances for Western audiences, as the film is a Japanese-language animated feature with limited mainstream star recognition outside its home market."
Fantastic Mr. Fox,2009,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,fantastic-mr-fox,https://letterboxd.com/film/fantastic-mr-fox/,21002919,0,7.9,"Animation, Adventure, Comedy",Wes Anderson,"George Clooney, Meryl Streep, Bill Murray",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Nominated for 2 Oscars. 32 wins & 63 nominations total,87 min,"United States, United Kingdom","English, French",True,21.0,0.0,,-3.7,2000,2000s,Niche Appeal,"Fantastic Mr. Fox stands out for its meticulous stop-motion artistry and Wes Anderson's signature whimsical storytelling, blending dry wit with heartfelt themes of identity and community. Its commercial underperformance contrasts with its cult status and critical acclaim, driven by its unique visual charm and mature yet family-friendly appeal. The film has since become a benchmark for innovative animation and a beloved example of Anderson's distinctive cinematic voice.",Mainstream Friendly,"The primary marketing challenge is balancing the appeal of its A-list voice cast and Wes Anderson's distinctive style with the film's stop-motion animation format, which may limit its perceived accessibility to mainstream family audiences."
Call Me by Your Name,2017,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,call-me-by-your-name,https://letterboxd.com/film/call-me-by-your-name/,18095701,0,7.8,"Drama, Romance",Luca Guadagnino,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg","In the summer of 1983, 17-year-old Elio is spending the days with his family at their villa in Lombardy, Italy. He soon meets 24-year-old Oliver, an intern working for Elio's father. They discover the",Won 1 Oscar. 107 wins & 263 nominations total,132 min,"Brazil, France, Italy, United States","English, Italian, French, German, Hebrew",True,18.1,0.0,,-3.6,2010,2010s,Niche Appeal,"Call Me by Your Name stands out for its poetic and intimate portrayal of first love, capturing the raw, fleeting nature of desire with profound emotional authenticity. Its cultural impact is significant, resonating deeply with LGBTQ+ audiences and beyond for its tender, unapologetic storytelling and evocative setting. Despite its modest box office, the film’s artistic merit—bolstered by its nuanced performances and lyrical direction—cements its status as a timeless, cherished work.",Prestige Picture,"The primary marketing challenge is targeting a mainstream audience with a slow-paced, dialogue-driven foreign-language romance, given its lengthy runtime and lack of A-list star power at the time of release."
Coraline,2009,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,coraline,https://letterboxd.com/film/coraline/,116896576,0,7.8,"Animation, Drama, Family",Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman","Wandering her rambling old house in her boring new town, a young girl discovers a hidden door to a strangely idealized version of her life that seems too good to be true.",Nominated for 1 Oscar. 8 wins & 46 nominations total,100 min,United States,"English, Russian",False,116.9,0.0,,-3.6,2000,2000s,N/A - Performed Well,Successful box office performance,N/A,N/A
Scream,1996,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,scream,https://letterboxd.com/film/scream/,103046663,0,7.4,"Horror, Mystery",Wes Craven,"Neve Campbell, Courteney Cox, David Arquette",A masked killer targets a past victim's daughter.,12 wins & 11 nominations total,111 min,United States,English,False,103.05,0.0,,-3.2,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
The Perks of Being a Wallflower,2012,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,the-perks-of-being-a-wallflower,https://letterboxd.com/film/the-perks-of-being-a-wallflower/,17742948,0,7.9,Drama,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller","Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends two seniors, he learns to cope with his friend's suicide and his tumultuous past.",20 wins & 51 nominations total,103 min,United States,English,True,17.74,0.0,,-3.7,2010,2010s,Niche Appeal,"The Perks of Being a Wallflower resonates deeply through its authentic, emotionally raw portrayal of teenage angst and mental health, capturing a rare sincerity that mainstream teen dramas often miss. Its cult status grew from powerful performances and a poignant script that connected profoundly with audiences, fostering a lasting cultural impact far beyond its initial box office.",Prestige Picture,"The primary marketing challenge was overcoming the limited star power of its young cast, who were not yet established box office draws, while effectively targeting the niche young adult demographic beyond the book's existing fanbase."
10 Things I Hate About You,1999,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,10-things-i-hate-about-you,https://letterboxd.com/film/10-things-i-hate-about-you/,38178166,0,7.4,"Comedy, Drama, Romance",Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt","A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat.",2 wins & 13 nominations total,97 min,United States,"English, French",True,38.18,0.0,,-3.2,1990,1990s,Poor Marketing,"Despite its modest box office, ""10 Things I Hate About You"" endures as a clever, witty modernization of Shakespeare's ""The Taming of the Shrew,"" elevated by sharp writing and standout performances from its young cast. Its authentic portrayal of teenage angst and romance, combined with a killer soundtrack, has cemented its cult classic status and lasting influence on the teen rom-com genre. The film’s blend of humor, heart, and intelligence resonates deeply, making it a beloved favorite beyond its initial",Mainstream Friendly,"The primary marketing challenge was the lack of established star power among its young cast, requiring the campaign to build recognition and appeal around the modern Shakespeare adaptation angle rather than relying on well-known actors."
Little Women,2019,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,little-women,https://letterboxd.com/film/little-women/,108101214,0,7.8,"Drama, Romance",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh","In 19th century Massachusetts, the March sisters--Meg, Jo, Beth, and Amy--on the threshold of womanhood, go through many ups and downs in life and endeavor to make important decisions about their futu",Won 1 Oscar. 73 wins & 230 nominations total,135 min,United States,"English, French",False,108.1,0.0,,-3.6,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
Fight Club,1999,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,fight-club,https://letterboxd.com/film/fight-club/,37030102,0,8.8,"Crime, Drama, Thriller",David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Nominated for 1 Oscar. 12 wins & 38 nominations total,139 min,"United States, Germany",English,True,37.03,0.0,,-4.6,1990,1990s,Niche Appeal,"Fight Club's initial commercial failure stemmed from its subversive themes challenging consumerism and masculinity, which alienated mainstream audiences but resonated deeply with critics and cult viewers. Its raw, stylized direction and provocative narrative have since cemented its status as a culturally influential masterpiece that critiques modern society's emptiness. The film’s enduring relevance and sharp social commentary continue to attract new audiences, solidifying its legacy far beyond its box office performance.",Prestige Picture,"The primary marketing challenge was balancing the film's subversive, anti-consumerist themes with its mainstream star power, which risked alienating both general audiences expecting conventional entertainment and the niche demographic it targeted."
La La Land,2016,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,la-la-land,https://letterboxd.com/film/la-la-land/,151101803,0,8.0,"Comedy, Drama, Music",Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt","When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",Won 6 Oscars. 242 wins & 307 nominations total,128 min,"United States, Hong Kong","English, Cantonese",False,151.1,0.0,,-3.8,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
Eternal Sunshine of the Spotless Mind,2004,4.2,https://letterboxd.com/jack/list/official-top-250-films-with-the-most-fans/,eternal-sunshine-of-the-spotless-mind,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,34400301,0,8.3,"Drama, Romance, Sci-Fi",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Won 1 Oscar. 73 wins & 111 nominations total,108 min,United States,English,True,34.4,0.0,,-4.1,2000,2000s,Niche Appeal,"Eternal Sunshine of the Spotless Mind masterfully blends surreal sci-fi with raw emotional depth, using a non-linear narrative to explore memory and love in a way that feels both innovative and profoundly human. Its artistic ambition and unconventional storytelling, while resonating deeply with critics and cinephiles, limited its mainstream appeal. The film’s lasting cultural impact lies in its poignant, universally relatable examination of heartbreak and the bittersweet choice between pain and erasure.",Cult Potential,"Balancing Jim Carrey's established comedic persona with the film's unconventional, melancholic narrative, which risked alienating his mainstream fans while struggling to attract the art-house audience it truly targeted."
The Conjuring,2013,4.0,https://letterboxd.com/films/,the-conjuring,https://letterboxd.com/film/the-conjuring/,137446368,0,7.5,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,15 wins & 22 nominations total,112 min,United States,"English, Latin",False,137.45,0.0,,-3.5,2010,2010s,N/A - Performed Well,Successful box office performance,N/A,N/A
Sydney🚀,2007,4.0,https://letterboxd.com/films/,sydney,https://letterboxd.com/film/sydney/,11892415,0,6.2,"Comedy, Drama, Romance",Joe Nussbaum,"Amanda Bynes, Sara Paxton, Matt Long","After being banished from the most popular sorority on campus, Sydney White teams up with a group of socially awkward outcasts to outdo the queen at her own game.",N/A,108 min,United States,English,True,11.89,0.0,,-2.2,2000,2000s,Poor Marketing,"Despite its commercial underperformance, ""Sydney"" resonates as a modern, clever retelling of ""Snow White"" that subverts typical teen comedy tropes with genuine heart and a focus on inclusivity. Its charm lies in its authentic portrayal of outcasts and its witty, feel-good narrative, which has earned it a dedicated cult following over time.",Prestige Picture,"The primary marketing challenge is the limited star power of its young cast, who lacked broad name recognition to drive significant audience interest beyond a niche teen demographic."
Together,2000,4.0,https://letterboxd.com/films/,together,https://letterboxd.com/film/together/,1034829,0,7.4,"Comedy, Drama, Romance",Lukas Moodysson,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson","In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids.",15 wins & 16 nominations,106 min,"Sweden, Denmark, Italy",Swedish,True,1.03,0.0,,-3.4,2000,2000s,Niche Appeal,"Together (2000) excels through its poignant, nuanced portrayal of communal life and human relationships, blending sharp humor with genuine emotional depth. Its authentic character development and subtle critique of idealism resonate deeply with critics and cinephiles, earning it high praise. Despite limited commercial reach, its lasting impact lies in its heartfelt storytelling and insightful social commentary.",Prestige Picture,"The primary marketing challenge is overcoming the language barrier and limited international recognition of its Swedish cast, which may restrict its appeal and accessibility to broader, non-Scandinavian audiences."
Good Will Hunting,1997,4.0,https://letterboxd.com/films/,good-will-hunting,https://letterboxd.com/film/good-will-hunting/,138433435,0,8.3,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","A therapist counsels Will Hunting, a janitor with a genius IQ.",Won 2 Oscars. 25 wins & 61 nominations total,126 min,United States,English,False,138.43,0.0,,-4.3,1990,1990s,N/A - Performed Well,Successful box office performance,N/A,N/A
Dead Poets Society,1989,4.0,https://letterboxd.com/films/,dead-poets-society,https://letterboxd.com/film/dead-poets-society/,95860116,0,8.1,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expressi",Won 1 Oscar. 20 wins & 19 nominations total,128 min,United States,"English, Latin, French",False,95.86,0.0,,-4.1,1980,1980s,N/A - Performed Well,Successful box office performance,N/A,N/A
